"Prev.Length","Match.Score","Tile.Size","Prev.Type","Browse.Time"
30,50,0.1,"TT",16.1872338671867
120,50,0.1,"TT",16.637869861479
30,100,0.1,"TT",17.6196742309781
120,100,0.1,"TT",19.5939137264911
30,50,0.5,"TT",16.8485180017853
120,50,0.5,"TT",16.9663360964598
30,100,0.5,"TT",17.5199799714063
120,100,0.5,"TT",18.9577856697102
30,50,0.1,"AC",21.6670142303551
120,50,0.1,"AC",22.2084563394007
30,100,0.1,"AC",22.323139953945
120,100,0.1,"AC",25.7642912096457
30,50,0.5,"AC",22.5918750053111
120,50,0.5,"AC",22.7731523603875
30,100,0.5,"AC",21.4469696391278
120,100,0.5,"AC",24.6632154068711
30,50,0.1,"TT",16.7897983888031
120,50,0.1,"TT",19.1064916443256
30,100,0.1,"TT",17.1344966906229
120,100,0.1,"TT",19.0643234952576
30,50,0.5,"TT",16.1219497231249
120,50,0.5,"TT",17.160638938283
30,100,0.5,"TT",17.5404985902207
120,100,0.5,"TT",21.0008791920664
30,50,0.1,"AC",22.0877109917866
120,50,0.1,"AC",22.3232102566635
30,100,0.1,"AC",23.6840858143737
120,100,0.1,"AC",23.8990661703812
30,50,0.5,"AC",22.2667577590497
120,50,0.5,"AC",22.9238910748114
30,100,0.5,"AC",23.7229896593602
120,100,0.5,"AC",24.5908545580037
30,50,0.1,"TT",17.2772134767968
120,50,0.1,"TT",18.4441620509138
30,100,0.1,"TT",18.3664759818952
120,100,0.1,"TT",20.7109929537875
30,50,0.5,"TT",15.6219251561352
120,50,0.5,"TT",15.0003953106842
30,100,0.5,"TT",18.247624513827
120,100,0.5,"TT",18.6616878218842
30,50,0.1,"AC",21.7101206872198
120,50,0.1,"AC",22.8566661956348
30,100,0.1,"AC",20.5186528950321
120,100,0.1,"AC",24.958576734048
30,50,0.5,"AC",21.285486467802
120,50,0.5,"AC",22.7459294891843
30,100,0.5,"AC",20.6046143420687
120,100,0.5,"AC",25.1820895114471
30,50,0.1,"TT",16.725511627679
120,50,0.1,"TT",18.8189241855846
30,100,0.1,"TT",16.7425283351873
120,100,0.1,"TT",19.1026009308421
30,50,0.5,"TT",17.6241281591718
120,50,0.5,"TT",16.7100683248981
30,100,0.5,"TT",14.6104789697025
120,100,0.5,"TT",20.6958410100533
30,50,0.1,"AC",22.4696765195444
120,50,0.1,"AC",22.2713671423355
30,100,0.1,"AC",22.3172538820085
120,100,0.1,"AC",25.0588275148583
30,50,0.5,"AC",22.3567547531754
120,50,0.5,"AC",23.0444532895223
30,100,0.5,"AC",21.5202416279736
120,100,0.5,"AC",24.0924707154393
30,50,0.1,"TT",16.6025112406242
120,50,0.1,"TT",17.7797246793376
30,100,0.1,"TT",17.0229279586398
120,100,0.1,"TT",19.708978148454
30,50,0.5,"TT",15.1733925251434
120,50,0.5,"TT",17.4745225759187
30,100,0.5,"TT",15.6001895239716
120,100,0.5,"TT",19.9017481660363
30,50,0.1,"AC",22.7930890581105
120,50,0.1,"AC",21.7842253908395
30,100,0.1,"AC",22.6794074644356
120,100,0.1,"AC",23.6573221487133
30,50,0.5,"AC",21.8046683164591
120,50,0.5,"AC",22.5096652795661
30,100,0.5,"AC",23.0248329632761
120,100,0.5,"AC",24.7203159900203
30,50,0.1,"TT",16.0472671420276
120,50,0.1,"TT",18.0378213757387
30,100,0.1,"TT",18.1019223399177
120,100,0.1,"TT",19.9402855633285
30,50,0.5,"TT",16.5649097098956
120,50,0.5,"TT",19.0655709621881
30,100,0.5,"TT",16.7195655912366
120,100,0.5,"TT",19.5908359794094
30,50,0.1,"AC",22.7625504183694
120,50,0.1,"AC",21.2069189660171
30,100,0.1,"AC",22.8093084141963
120,100,0.1,"AC",25.6266393638829
30,50,0.5,"AC",22.4170719650823
120,50,0.5,"AC",22.0179661182004
30,100,0.5,"AC",21.6846723413514
120,100,0.5,"AC",25.8716702282878
30,50,0.1,"TT",15.9603008671984
120,50,0.1,"TT",18.1025236192142
30,100,0.1,"TT",16.6467593446138
120,100,0.1,"TT",18.5041953349303
30,50,0.5,"TT",17.305497717933
120,50,0.5,"TT",18.2068462101253
30,100,0.5,"TT",16.6593584102712
120,100,0.5,"TT",19.969742898769
30,50,0.1,"AC",23.5156961398524
120,50,0.1,"AC",22.4348631719533
30,100,0.1,"AC",23.0553866925336
120,100,0.1,"AC",22.4954540849534
30,50,0.5,"AC",19.7117068784635
120,50,0.5,"AC",22.3298805912781
30,100,0.5,"AC",23.952658368826
120,100,0.5,"AC",25.9808218900417
30,50,0.1,"TT",17.0858714209314
120,50,0.1,"TT",17.8839181391671
30,100,0.1,"TT",17.0366252624632
120,100,0.1,"TT",20.7853173181911
30,50,0.5,"TT",16.7069244917413
120,50,0.5,"TT",18.9870177413565
30,100,0.5,"TT",16.956026028335
120,100,0.5,"TT",19.794235194295
30,50,0.1,"AC",21.811956046006
120,50,0.1,"AC",21.7632823279213
30,100,0.1,"AC",21.2837210315975
120,100,0.1,"AC",24.5628963589285
30,50,0.5,"AC",24.120450222764
120,50,0.5,"AC",22.2562488765019
30,100,0.5,"AC",22.4234160107717
120,100,0.5,"AC",25.725527737972
30,50,0.1,"TT",17.9649955939035
120,50,0.1,"TT",18.1964919635577
30,100,0.1,"TT",16.8211813626913
120,100,0.1,"TT",19.6508065162162
30,50,0.5,"TT",17.3218077699744
120,50,0.5,"TT",19.0796091516413
30,100,0.5,"TT",16.1492096606222
120,100,0.5,"TT",20.5773360012478
30,50,0.1,"AC",22.2651254593013
120,50,0.1,"AC",22.244727521773
30,100,0.1,"AC",22.0133333582489
120,100,0.1,"AC",22.9275826511349
30,50,0.5,"AC",22.1392504210275
120,50,0.5,"AC",23.9636320407128
30,100,0.5,"AC",22.4416405468787
120,100,0.5,"AC",25.0404280752567
30,50,0.1,"TT",15.614265505703
120,50,0.1,"TT",18.8362316992338
30,100,0.1,"TT",16.1468385989414
120,100,0.1,"TT",18.272467302432
30,50,0.5,"TT",16.7342348380418
120,50,0.5,"TT",16.9916839514152
30,100,0.5,"TT",17.1072652896204
120,100,0.5,"TT",20.690244827376
30,50,0.1,"AC",23.1002664636777
120,50,0.1,"AC",21.5839570087011
30,100,0.1,"AC",21.9759021880178
120,100,0.1,"AC",25.1749350830875
30,50,0.5,"AC",20.6280696529708
120,50,0.5,"AC",22.7598421381923
30,100,0.5,"AC",21.3773140132824
120,100,0.5,"AC",24.0784718703159
30,50,0.1,"TT",17.4060280723695
120,50,0.1,"TT",15.8305397089977
30,100,0.1,"TT",16.6159289896281
120,100,0.1,"TT",19.2172882714276
30,50,0.5,"TT",17.5005852924144
120,50,0.5,"TT",16.3722888459102
30,100,0.5,"TT",17.4801213683123
120,100,0.5,"TT",19.5273051753048
30,50,0.1,"AC",22.8473741917295
120,50,0.1,"AC",23.9158164384423
30,100,0.1,"AC",21.7005234507739
120,100,0.1,"AC",26.2161519771288
30,50,0.5,"AC",22.625240988488
120,50,0.5,"AC",23.3105311865291
30,100,0.5,"AC",22.1667488086372
120,100,0.5,"AC",25.823276264922
30,50,0.1,"TT",17.5845205406748
120,50,0.1,"TT",17.7428353523988
30,100,0.1,"TT",14.8677407672591
120,100,0.1,"TT",20.8577805743093
30,50,0.5,"TT",17.3157849034654
120,50,0.5,"TT",18.8264848646721
30,100,0.5,"TT",16.0676586765635
120,100,0.5,"TT",20.9556636522788
30,50,0.1,"AC",22.6377499321932
120,50,0.1,"AC",22.0930831962326
30,100,0.1,"AC",23.2899963028301
120,100,0.1,"AC",23.8070213585338
30,50,0.5,"AC",22.0698858111296
120,50,0.5,"AC",22.3505900357537
30,100,0.5,"AC",21.8995959186763
120,100,0.5,"AC",25.1542522075844
