Prev.Length,Match.Score,Prev.Type,Tile.Size,Browse.Time
70,65,TT,0.2,10.89156209
75,65,TT,0.2,12.49695597
85,65,TT,0.2,13.14785099
90,65,TT,0.2,11.85626695
70,75,TT,0.2,13.73964615
75,75,TT,0.2,11.45335938
85,75,TT,0.2,11.61526603
90,75,TT,0.2,11.98494693
70,65,TT,0.2,11.59312296
75,65,TT,0.2,12.18458328
85,65,TT,0.2,9.224341471
90,65,TT,0.2,12.14323492
70,75,TT,0.2,9.441036143
75,75,TT,0.2,10.58927283
85,75,TT,0.2,10.99583801
90,75,TT,0.2,12.96484714
70,65,TT,0.2,12.33804888
75,65,TT,0.2,10.29137308
85,65,TT,0.2,11.17931195
90,65,TT,0.2,12.52415483
70,75,TT,0.2,11.3415135
75,75,TT,0.2,10.05101876
85,75,TT,0.2,11.52562957
90,75,TT,0.2,13.01120566
70,65,TT,0.2,10.58421871
75,65,TT,0.2,10.11357417
85,65,TT,0.2,12.18417096
90,65,TT,0.2,11.50464299
70,75,TT,0.2,10.44183665
75,75,TT,0.2,9.058225605
85,75,TT,0.2,10.41487708
90,75,TT,0.2,12.3085803
70,65,TT,0.2,12.51645615
75,65,TT,0.2,11.33207547
85,65,TT,0.2,10.60792032
90,65,TT,0.2,11.46741385
70,75,TT,0.2,10.34542646
75,75,TT,0.2,8.963615087
85,75,TT,0.2,11.10682833
90,75,TT,0.2,12.21720029
70,65,TT,0.2,10.85120108
75,65,TT,0.2,12.02687213
85,65,TT,0.2,11.15381804
90,65,TT,0.2,12.00887095
70,75,TT,0.2,11.76356972
75,75,TT,0.2,10.23513273
85,75,TT,0.2,11.18796562
90,75,TT,0.2,11.59948052
70,65,TT,0.2,11.26485905
75,65,TT,0.2,10.34746387
85,65,TT,0.2,11.41871147
90,65,TT,0.2,13.92454278
70,75,TT,0.2,9.341408332
75,75,TT,0.2,9.555803599
85,75,TT,0.2,13.31629478
90,75,TT,0.2,12.74317295
70,65,TT,0.2,11.73600438
75,65,TT,0.2,11.73979991
85,65,TT,0.2,12.06136688
90,65,TT,0.2,11.92238238
70,75,TT,0.2,10.08604636
75,75,TT,0.2,8.16323367
85,75,TT,0.2,12.88541201
90,75,TT,0.2,11.53728753
70,65,TT,0.2,10.9025726
75,65,TT,0.2,10.94916397
85,65,TT,0.2,11.99793019
90,65,TT,0.2,11.03510613
70,75,TT,0.2,10.0196063
75,75,TT,0.2,10.59045205
85,75,TT,0.2,11.44382638
90,75,TT,0.2,12.86341848
70,65,TT,0.2,10.77399273
75,65,TT,0.2,12.01521225
85,65,TT,0.2,13.7382018
90,65,TT,0.2,13.63501693
70,75,TT,0.2,12.28284321
75,75,TT,0.2,10.82551797
85,75,TT,0.2,11.72005792
90,75,TT,0.2,12.67300518
70,65,TT,0.2,12.2249753
75,65,TT,0.2,12.23978025
85,65,TT,0.2,10.76876262
90,65,TT,0.2,13.47474675
70,75,TT,0.2,9.225226157
75,75,TT,0.2,10.16924535
85,75,TT,0.2,10.58498316
90,75,TT,0.2,11.87938453
70,65,TT,0.2,11.04385638
75,65,TT,0.2,9.848452126
85,65,TT,0.2,11.34459558
90,65,TT,0.2,10.97209306
70,75,TT,0.2,9.810864993
75,75,TT,0.2,10.67990066
85,75,TT,0.2,10.91315404
90,75,TT,0.2,13.3287591
70,65,TT,0.2,9.655382212
75,65,TT,0.2,10.79617234
85,65,TT,0.2,12.41785954
90,65,TT,0.2,10.49033997
70,75,TT,0.2,10.24930152
75,75,TT,0.2,10.18160477
85,75,TT,0.2,11.31673478
90,75,TT,0.2,12.98243327
70,65,TT,0.2,11.09771039
75,65,TT,0.2,11.39695153
85,65,TT,0.2,11.66540902
90,65,TT,0.2,10.02567124
70,75,TT,0.2,10.72193301
75,75,TT,0.2,10.59462603
85,75,TT,0.2,11.73490787
90,75,TT,0.2,12.81600435
70,65,TT,0.2,11.47362663
75,65,TT,0.2,11.50755514
85,65,TT,0.2,9.674889508
90,65,TT,0.2,13.03304771
70,75,TT,0.2,11.76815821
75,75,TT,0.2,10.86208475
85,75,TT,0.2,10.17114025
90,75,TT,0.2,12.27527573
