,Prev_Length,Prev_Type,Match_Score,Tile_Size,Browse_Time_mean,Browse_Time_var,conditions
,,,,,,,
conditions,,,,,,,
condition1,75,0.2,75,TT,9.84580759189,1.126548483048195,condition1
condition2,80,0.2,70,TT,10.376416147259999,0.6801165208056916,condition2
condition3,70,0.2,75,TT,10.535306195040002,1.0450568786141419,condition3
condition4,75,0.2,65,TT,11.137688686390003,0.9595938629074822,condition4
condition5,70,0.2,65,TT,11.146524493050004,0.8525956174152719,condition5
condition6,80,0.2,80,TT,11.30643930825,0.9344055048287098,condition6
condition7,85,0.2,75,TT,11.680970578220004,0.8886803430597457,condition7
condition8,85,0.2,65,TT,11.833222279550002,1.1613231628528595,condition8
condition9,90,0.2,65,TT,12.134748070570001,1.108669616749377,condition9
condition10,90,0.2,75,TT,12.720514862900004,0.7392941309562336,condition10
condition11,80,0.2,60,TT,12.863617667000002,0.9220163496726235,condition11
